,multiverseid,name,artist,colors,colorIdentity,layout,cmc,rarity,type,subtypes,supertypes,power,toughness,set
38,129726.0,Serra Angel,Greg Staples,[White],[W],normal,5.0,Rare,Creature — Angel,[Angel],,4,4,10E
39,135214.0,Serra's Embrace,Zoltan Boros & Gabor Szikszai,[White],[W],normal,4.0,Uncommon,Enchantment — Aura,[Aura],,,,10E
40,129735.0,Skyhunter Patrol,Matt Cavotta,[White],[W],normal,4.0,Common,Creature — Cat Knight,"[Cat, Knight]",,2,3,10E
41,132102.0,Skyhunter Prowler,Vance Kovacs,[White],[W],normal,3.0,Common,Creature — Cat Knight,"[Cat, Knight]",,1,3,10E
42,129513.0,Skyhunter Skirmisher,Greg Staples,[White],[W],normal,3.0,Uncommon,Creature — Cat Knight,"[Cat, Knight]",,1,1,10E
43,129740.0,Soul Warden,Randy Gallegos,[White],[W],normal,1.0,Uncommon,Creature — Human Cleric,"[Human, Cleric]",,1,1,10E
44,129744.0,Spirit Link,Kev Walker,[White],[W],normal,1.0,Uncommon,Enchantment — Aura,[Aura],,,,10E
45,130999.0,Spirit Weaver,Matthew D. Wilson,[White],[W],normal,2.0,Uncommon,Creature — Human Wizard,"[Human, Wizard]",,2,1,10E
46,130385.0,Starlight Invoker,Glen Angus,[White],[W],normal,2.0,Uncommon,Creature — Human Cleric Mutant,"[Human, Cleric, Mutant]",,1,3,10E
47,132111.0,Steadfast Guard,Michael Komarck,[White],[W],normal,2.0,Common,Creature — Human Rebel,"[Human, Rebel]",,2,2,10E
48,129748.0,Story Circle,Aleksi Briclot,[White],[W],normal,3.0,Rare,Enchantment,,,,,10E
49,129753.0,Suntail Hawk,Heather Hudson,[White],[W],normal,1.0,Common,Creature — Bird,[Bird],,1,1,10E
50,132131.0,Tempest of Light,Wayne England,[White],[W],normal,3.0,Uncommon,Instant,,,,,10E
51,135232.0,Treasure Hunter,Adam Rex,[White],[W],normal,3.0,Uncommon,Creature — Human,[Human],,2,2,10E
52,129610.0,True Believer,Alex Horley-Orlandelli,[White],[W],normal,2.0,Rare,Creature — Human Cleric,"[Human, Cleric]",,2,2,10E
53,129604.0,Tundra Wolves,Richard Sardinha,[White],[W],normal,1.0,Common,Creature — Wolf,[Wolf],,1,1,10E
54,129786.0,Venerable Monk,D. Alexander Gregory,[White],[W],normal,3.0,Common,Creature — Human Monk Cleric,"[Human, Monk, Cleric]",,2,2,10E
55,136290.0,Voice of All,rk post,[White],[W],normal,4.0,Rare,Creature — Angel,[Angel],,2,2,10E
56,132120.0,Wall of Swords,Zoltan Boros & Gabor Szikszai,[White],[W],normal,4.0,Uncommon,Creature — Wall,[Wall],,3,5,10E
57,129797.0,Warrior's Honor,D. Alexander Gregory,[White],[W],normal,3.0,Common,Instant,,,,,10E
58,129557.0,Wild Griffin,Matt Cavotta,[White],[W],normal,3.0,Common,Creature — Griffin,[Griffin],,2,2,10E
59,130549.0,Windborn Muse,Adam Rex,[White],[W],normal,4.0,Rare,Creature — Spirit,[Spirit],,2,3,10E
60,129808.0,Wrath of God,Kev Walker,[White],[W],normal,4.0,Rare,Sorcery,,,,,10E
61,129790.0,Youthful Knight,Rebecca Guay,[White],[W],normal,2.0,Common,Creature — Human Knight,"[Human, Knight]",,2,1,10E
62,132072.0,Academy Researchers,Stephen Daniele,[Blue],[U],normal,3.0,Uncommon,Creature — Human Wizard,"[Human, Wizard]",,2,2,10E
63,129459.0,Air Elemental,Kev Walker,[Blue],[U],normal,5.0,Uncommon,Creature — Elemental,[Elemental],,4,4,10E
64,129913.0,Ambassador Laquatus,Jim Murray,[Blue],[U],normal,3.0,Rare,Legendary Creature — Merfolk Wizard,"[Merfolk, Wizard]",[Legendary],1,3,10E
65,106426.0,Arcanis the Omnipotent,Justin Sweet,[Blue],[U],normal,6.0,Rare,Legendary Creature — Wizard,[Wizard],[Legendary],3,4,10E
66,130976.0,Aura Graft,Ray Lago,[Blue],[U],normal,2.0,Uncommon,Instant,,,,,10E
67,130985.0,Aven Fisher,Christopher Moeller,[Blue],[U],normal,4.0,Common,Creature — Bird Soldier,"[Bird, Soldier]",,2,2,10E
68,129473.0,Aven Windreader,Greg Hildebrandt,[Blue],[U],normal,5.0,Common,Creature — Bird Soldier Wizard,"[Bird, Soldier, Wizard]",,3,3,10E
69,129494.0,Boomerang,Arnie Swekel,[Blue],[U],normal,2.0,Common,Instant,,,,,10E
70,129882.0,Cancel,Mark Poole,[Blue],[U],normal,3.0,Common,Instant,,,,,10E
71,135261.0,Cephalid Constable,Alan Pollack,[Blue],[U],normal,3.0,Rare,Creature — Cephalid Wizard,"[Cephalid, Wizard]",,1,1,10E
72,129501.0,Clone,Kev Walker,[Blue],[U],normal,4.0,Rare,Creature — Shapeshifter,[Shapeshifter],,0,0,10E
73,129804.0,Cloud Elemental,Michael Sutfin,[Blue],[U],normal,3.0,Common,Creature — Elemental,[Elemental],,2,3,10E
74,132069.0,Cloud Sprite,Mark Zug,[Blue],[U],normal,1.0,Common,Creature — Faerie,[Faerie],,1,1,10E
75,134757.0,Counsel of the Soratami,Randy Gallegos,[Blue],[U],normal,3.0,Common,Sorcery,,,,,10E
76,134758.0,Crafty Pathmage,Wayne England,[Blue],[U],normal,3.0,Common,Creature — Human Wizard,"[Human, Wizard]",,1,1,10E
77,129521.0,Dehydration,Arnie Swekel,[Blue],[U],normal,4.0,Common,Enchantment — Aura,[Aura],,,,10E
78,135223.0,Deluge,Wayne England,[Blue],[U],normal,3.0,Uncommon,Instant,,,,,10E
79,135250.0,Denizen of the Deep,Jim Pavelec,[Blue],[U],normal,8.0,Rare,Creature — Serpent,[Serpent],,11,11,10E
80,134749.0,Discombobulate,Alex Horley-Orlandelli,[Blue],[U],normal,4.0,Uncommon,Instant,,,,,10E
81,135246.0,Dreamborn Muse,Kev Walker,[Blue],[U],normal,4.0,Rare,Creature — Spirit,[Spirit],,2,2,10E
82,129541.0,Evacuation,Franz Vohwinkel,[Blue],[U],normal,5.0,Rare,Instant,,,,,10E
83,129908.0,Flashfreeze,Brian Despain,[Blue],[U],normal,2.0,Uncommon,Instant,,,,,10E
84,132073.0,Fog Elemental,Jon J Muth,[Blue],[U],normal,3.0,Uncommon,Creature — Elemental,[Elemental],,4,4,10E
85,134762.0,Fugitive Wizard,Mark Zug,[Blue],[U],normal,1.0,Common,Creature — Human Wizard,"[Human, Wizard]",,1,1,10E
86,129596.0,Horseshoe Crab,Scott Kirschner,[Blue],[U],normal,3.0,Common,Creature — Crab,[Crab],,1,3,10E
87,135260.0,Hurkyl's Recall,Ralph Horsley,[Blue],[U],normal,2.0,Rare,Instant,,,,,10E
88,129631.0,Lumengrid Warden,Francis Tsai,[Blue],[U],normal,2.0,Common,Creature — Human Wizard,"[Human, Wizard]",,1,3,10E
89,129633.0,Mahamoti Djinn,Greg Staples,[Blue],[U],normal,6.0,Rare,Creature — Djinn,[Djinn],,5,6,10E
90,106555.0,March of the Machines,Ben Thompson,[Blue],[U],normal,4.0,Rare,Enchantment,,,,,10E
91,130900.0,Merfolk Looter,Tristan Elwell,[Blue],[U],normal,2.0,Common,Creature — Merfolk Rogue,"[Merfolk, Rogue]",,1,1,10E
92,129644.0,Mind Bend,Mike Dringenberg,[Blue],[U],normal,1.0,Rare,Instant,,,,,10E
93,130903.0,Peek,Adam Rex,[Blue],[U],normal,1.0,Common,Instant,,,,,10E
94,129900.0,Persuasion,William O'Connor,[Blue],[U],normal,5.0,Uncommon,Enchantment — Aura,[Aura],,,,10E
95,132064.0,Phantom Warrior,Greg Staples,[Blue],[U],normal,3.0,Uncommon,Creature — Illusion Warrior,"[Illusion, Warrior]",,2,2,10E
96,129883.0,Plagiarize,Jeremy Jarvis,[Blue],[U],normal,4.0,Rare,Instant,,,,,10E
97,129685.0,Puppeteer,Kev Walker,[Blue],[U],normal,3.0,Uncommon,Creature — Human Wizard,"[Human, Wizard]",,1,2,10E
98,129698.0,Reminisce,Ralph Horsley,[Blue],[U],normal,3.0,Uncommon,Sorcery,,,,,10E
99,129699.0,Remove Soul,Adam Rex,[Blue],[U],normal,2.0,Common,Instant,,,,,10E
100,134764.0,Robe of Mirrors,Christopher Moeller,[Blue],[U],normal,1.0,Common,Enchantment — Aura,[Aura],,,,10E
101,129733.0,Rootwater Commando,Mark Tedin,[Blue],[U],normal,3.0,Common,Creature — Merfolk,[Merfolk],,2,2,10E
102,135252.0,Rootwater Matriarch,Daren Bader,[Blue],[U],normal,4.0,Rare,Creature — Merfolk,[Merfolk],,2,3,10E
103,135217.0,Sage Owl,Mark Brill,[Blue],[U],normal,2.0,Common,Creature — Bird,[Bird],,1,1,10E
104,130818.0,Scalpelexis,Mark Tedin,[Blue],[U],normal,5.0,Rare,Creature — Beast,[Beast],,1,5,10E
105,129719.0,Sea Monster,Brian Despain,[Blue],[U],normal,6.0,Common,Creature — Serpent,[Serpent],,6,6,10E
106,129553.0,Shimmering Wings,Carl Critchlow,[Blue],[U],normal,1.0,Common,Enchantment — Aura,[Aura],,,,10E
107,136217.0,Sift,Jeremy Jarvis,[Blue],[U],normal,4.0,Common,Sorcery,,,,,10E
108,130998.0,Sky Weaver,Christopher Moeller,[Blue],[U],normal,2.0,Uncommon,Creature — Metathran Wizard,"[Metathran, Wizard]",,2,1,10E
109,129471.0,Snapping Drake,Dave Dorman,[Blue],[U],normal,4.0,Common,Creature — Drake,[Drake],,3,2,10E
110,129901.0,Spiketail Hatchling,Greg Staples,[Blue],[U],normal,2.0,Uncommon,Creature — Drake,[Drake],,1,1,10E
111,129509.0,Sunken Hope,Volkan Baga,[Blue],[U],normal,5.0,Rare,Enchantment,,,,,10E
112,129761.0,Telepathy,Matthew D. Wilson,[Blue],[U],normal,1.0,Uncommon,Enchantment,,,,,10E
113,132071.0,Telling Time,Scott M. Fischer,[Blue],[U],normal,2.0,Uncommon,Instant,,,,,10E
114,129764.0,Thieving Magpie,Una Fricker,[Blue],[U],normal,4.0,Uncommon,Creature — Bird,[Bird],,1,3,10E
115,129770.0,Tidings,Pete Venters,[Blue],[U],normal,5.0,Uncommon,Sorcery,,,,,10E
116,129898.0,Time Stop,Scott M. Fischer,[Blue],[U],normal,6.0,Rare,Instant,,,,,10E
117,129677.0,Time Stretch,Matt Cavotta,[Blue],[U],normal,10.0,Rare,Sorcery,,,,,10E
118,129774.0,Traumatize,Greg Staples,[Blue],[U],normal,5.0,Rare,Sorcery,,,,,10E
119,129887.0,Twincast,Christopher Moeller,[Blue],[U],normal,2.0,Rare,Instant,,,,,10E
120,136286.0,Twitch,DiTerlizzi,[Blue],[U],normal,3.0,Common,Instant,,,,,10E
121,136218.0,Unsummon,Ron Spencer,[Blue],[U],normal,1.0,Common,Instant,,,,,10E
122,130834.0,Vedalken Mastermind,Darrell Riche,[Blue],[U],normal,2.0,Uncommon,Creature — Vedalken Wizard,"[Vedalken, Wizard]",,1,2,10E
123,135274.0,Wall of Air,John Avon,[Blue],[U],normal,3.0,Uncommon,Creature — Wall,[Wall],,1,5,10E
124,135206.0,Afflict,Roger Raupp,[Black],[B],normal,3.0,Common,Instant,,,,,10E
125,135228.0,Agonizing Memories,Adam Rex,[Black],[B],normal,4.0,Uncommon,Sorcery,,,,,10E
126,106525.0,Ascendant Evincar,Mark Zug,[Black],[B],normal,6.0,Rare,Legendary Creature — Vampire,[Vampire],[Legendary],3,3,10E
127,135194.0,Assassinate,Kev Walker,[Black],[B],normal,3.0,Common,Sorcery,,,,,10E
128,135270.0,Beacon of Unrest,Alan Pollack,[Black],[B],normal,5.0,Rare,Sorcery,,,,,10E
129,129491.0,Bog Wraith,Daarken,[Black],[B],normal,4.0,Uncommon,Creature — Wraith,[Wraith],,3,3,10E
130,129505.0,Consume Spirit,Matt Thompson,[Black],[B],normal,2.0,Uncommon,Sorcery,,,,,10E
131,129590.0,Contaminated Bond,Thomas M. Baxa,[Black],[B],normal,2.0,Common,Enchantment — Aura,[Aura],,,,10E
132,129514.0,Cruel Edict,Michael Sutfin,[Black],[B],normal,2.0,Uncommon,Sorcery,,,,,10E
133,129910.0,Deathmark,Jeremy Jarvis,[Black],[B],normal,1.0,Uncommon,Sorcery,,,,,10E
134,129525.0,Diabolic Tutor,Greg Staples,[Black],[B],normal,4.0,Uncommon,Sorcery,,,,,10E
135,135219.0,Distress,Michael Sutfin,[Black],[B],normal,2.0,Common,Sorcery,,,,,10E
136,129880.0,Doomed Necromancer,Volkan Baga,[Black],[B],normal,3.0,Rare,Creature — Human Cleric Mercenary,"[Human, Cleric, Mercenary]",,2,2,10E
137,135216.0,Dross Crocodile,Carl Critchlow,[Black],[B],normal,4.0,Common,Creature — Zombie Crocodile,"[Zombie, Crocodile]",,5,1,10E
138,129529.0,Drudge Skeletons,Jim Nelson,[Black],[B],normal,2.0,Uncommon,Creature — Skeleton,[Skeleton],,1,1,10E
139,129490.0,Dusk Imp,Pete Venters,[Black],[B],normal,3.0,Common,Creature — Imp,[Imp],,2,1,10E
140,135191.0,Essence Drain,Jim Nelson,[Black],[B],normal,5.0,Common,Sorcery,,,,,10E
141,129544.0,Fear,Adam Rex,[Black],[B],normal,2.0,Common,Enchantment — Aura,[Aura],,,,10E
142,129546.0,Festering Goblin,Thomas M. Baxa,[Black],[B],normal,1.0,Common,Creature — Zombie Goblin,"[Zombie, Goblin]",,1,1,10E
143,129583.0,Grave Pact,Puddnhead,[Black],[B],normal,4.0,Rare,Enchantment,,,,,10E
144,135256.0,Graveborn Muse,Kev Walker,[Black],[B],normal,4.0,Rare,Creature — Zombie Spirit,"[Zombie, Spirit]",,3,3,10E
145,129584.0,Gravedigger,Dermot Power,[Black],[B],normal,4.0,Common,Creature — Zombie,[Zombie],,2,2,10E
146,130995.0,Hate Weaver,Roger Raupp,[Black],[B],normal,2.0,Uncommon,Creature — Zombie Wizard,"[Zombie, Wizard]",,2,1,10E
147,135255.0,Head Games,Terese Nielsen,[Black],[B],normal,5.0,Rare,Sorcery,,,,,10E
148,135234.0,Hidden Horror,Brom,[Black],[B],normal,3.0,Uncommon,Creature — Horror,[Horror],,4,4,10E
149,129564.0,Highway Robber,Kev Walker,[Black],[B],normal,4.0,Common,Creature — Human Mercenary,"[Human, Mercenary]",,2,2,10E
150,129600.0,Hypnotic Specter,Greg Staples,[Black],[B],normal,3.0,Rare,Creature — Specter,[Specter],,2,2,10E
151,129574.0,Knight of Dusk,rk post,[Black],[B],normal,3.0,Uncommon,Creature — Human Knight,"[Human, Knight]",,2,2,10E
152,129628.0,Looming Shade,Kev Walker,[Black],[B],normal,3.0,Common,Creature — Shade,[Shade],,1,1,10E
153,135271.0,Lord of the Pit,Michael Sutfin,[Black],[B],normal,7.0,Rare,Creature — Demon,[Demon],,7,7,10E
154,129629.0,Lord of the Undead,Brom,[Black],[B],normal,3.0,Rare,Creature — Zombie,[Zombie],,2,2,10E
155,135218.0,Mass of Ghouls,Lucio Parrillo,[Black],[B],normal,5.0,Common,Creature — Zombie Warrior,"[Zombie, Warrior]",,5,3,10E
156,129640.0,Megrim,Nick Percival,[Black],[B],normal,3.0,Uncommon,Enchantment,,,,,10E
157,135272.0,Midnight Ritual,Jeff Easley,[Black],[B],normal,3.0,Rare,Sorcery,,,,,10E
158,129645.0,Mind Rot,Steve Luke,[Black],[B],normal,3.0,Common,Sorcery,,,,,10E
159,135259.0,Mortal Combat,Mike Ploog,[Black],[B],normal,4.0,Rare,Enchantment,,,,,10E
160,129648.0,Mortivore,Anthony S. Waters,[Black],[B],normal,4.0,Rare,Creature — Lhurgoyf,[Lhurgoyf],,*,*,10E
161,129653.0,Nantuko Husk,Carl Critchlow,[Black],[B],normal,3.0,Uncommon,Creature — Zombie Insect,"[Zombie, Insect]",,2,2,10E
162,129658.0,Nekrataal,Christopher Moeller,[Black],[B],normal,4.0,Uncommon,Creature — Human Assassin,"[Human, Assassin]",,2,1,10E
163,129659.0,Nightmare,Carl Critchlow,[Black],[B],normal,6.0,Rare,Creature — Nightmare Horse,"[Nightmare, Horse]",,*,*,10E
164,136283.0,No Rest for the Wicked,Carl Critchlow,[Black],[B],normal,2.0,Uncommon,Enchantment,,,,,10E
165,106427.0,Phage the Untouchable,Ron Spears,[Black],[B],normal,7.0,Rare,Legendary Creature — Avatar Minion,"[Avatar, Minion]",[Legendary],4,4,10E
166,135189.0,Phyrexian Rager,Mark Tedin,[Black],[B],normal,3.0,Common,Creature — Horror,[Horror],,2,2,10E
167,129678.0,Plague Beetle,Tom Fleming,[Black],[B],normal,1.0,Common,Creature — Insect,[Insect],,1,1,10E
168,129679.0,Plague Wind,Alan Pollack,[Black],[B],normal,9.0,Rare,Sorcery,,,,,10E
169,135220.0,Rain of Tears,Eric Peterson,[Black],[B],normal,3.0,Uncommon,Sorcery,,,,,10E
170,129692.0,Ravenous Rats,Carl Critchlow,[Black],[B],normal,2.0,Common,Creature — Rat,[Rat],,1,1,10E
171,135188.0,Recover,Nelson DeCastro,[Black],[B],normal,3.0,Common,Sorcery,,,,,10E
172,135236.0,Relentless Rats,Thomas M. Baxa,[Black],[B],normal,3.0,Uncommon,Creature — Rat,[Rat],,2,2,10E
173,129708.0,Royal Assassin,Mark Zug,[Black],[B],normal,3.0,Rare,Creature — Human Assassin,"[Human, Assassin]",,1,1,10E
174,129718.0,Scathe Zombies,Kev Walker,[Black],[B],normal,3.0,Common,Creature — Zombie,[Zombie],,2,2,10E
175,129724.0,Sengir Vampire,Kev Walker,[Black],[B],normal,5.0,Rare,Creature — Vampire,[Vampire],,4,4,10E
176,129693.0,Severed Legion,Dany Orizio,[Black],[B],normal,3.0,Common,Creature — Zombie,[Zombie],,2,2,10E
177,129803.0,Sleeper Agent,Randy Gallegos,[Black],[B],normal,1.0,Rare,Creature — Minion,[Minion],,3,3,10E
178,129739.0,Soul Feast,Adam Rex,[Black],[B],normal,5.0,Uncommon,Sorcery,,,,,10E
179,129743.0,Spineless Thug,Matthew D. Wilson,[Black],[B],normal,2.0,Common,Creature — Zombie Mercenary,"[Zombie, Mercenary]",,2,2,10E
180,135197.0,Stronghold Discipline,Daarken,[Black],[B],normal,4.0,Uncommon,Sorcery,,,,,10E
181,135199.0,Terror,Adam Rex,[Black],[B],normal,2.0,Common,Instant,,,,,10E
182,136282.0,Thrull Surgeon,rk post,[Black],[B],normal,2.0,Uncommon,Creature — Thrull,[Thrull],,1,1,10E
183,129779.0,Underworld Dreams,Carl Critchlow,[Black],[B],normal,3.0,Rare,Enchantment,,,,,10E
184,129780.0,Unholy Strength,Terese Nielsen,[Black],[B],normal,1.0,Common,Enchantment — Aura,[Aura],,,,10E
185,135195.0,Vampire Bats,Chippy,[Black],[B],normal,1.0,Common,Creature — Bat,[Bat],,0,1,10E
186,134753.0,Anaba Bodyguard,Greg Staples,[Red],[R],normal,4.0,Common,Creature — Minotaur,[Minotaur],,2,3,10E
187,130530.0,Arcane Teachings,Dan Dos Santos,[Red],[R],normal,3.0,Uncommon,Enchantment — Aura,[Aura],,,,10E
188,135262.0,Beacon of Destruction,Greg Hildebrandt,[Red],[R],normal,5.0,Rare,Instant,,,,,10E
189,129484.0,Blaze,Alex Horley-Orlandelli,[Red],[R],normal,1.0,Uncommon,Sorcery,,,,,10E
190,129709.0,Bloodfire Colossus,Greg Staples,[Red],[R],normal,8.0,Rare,Creature — Giant,[Giant],,6,6,10E
191,130384.0,Bloodrock Cyclops,Alex Horley-Orlandelli,[Red],[R],normal,3.0,Common,Creature — Cyclops,[Cyclops],,3,3,10E
192,130534.0,Bogardan Firefiend,Terese Nielsen,[Red],[R],normal,3.0,Common,Creature — Elemental Spirit,"[Elemental, Spirit]",,2,1,10E
193,130535.0,Cone of Flame,Chippy,[Red],[R],normal,5.0,Uncommon,Sorcery,,,,,10E
194,129909.0,Cryoclasm,Zoltan Boros & Gabor Szikszai,[Red],[R],normal,3.0,Uncommon,Sorcery,,,,,10E
195,129522.0,Demolish,Gary Ruddell,[Red],[R],normal,4.0,Common,Sorcery,,,,,10E
196,143024.0,Dragon Roost,Jim Pavelec,[Red],[R],normal,6.0,Rare,Enchantment,,,,,10E
197,129579.0,Duct Crawler,Stephen Daniele,[Red],[R],normal,1.0,Common,Creature — Insect,[Insect],,1,1,10E
198,129554.0,Earth Elemental,Anthony S. Waters,[Red],[R],normal,5.0,Uncommon,Creature — Elemental,[Elemental],,4,5,10E
199,129548.0,Firebreathing,Aleksi Briclot,[Red],[R],normal,1.0,Common,Enchantment — Aura,[Aura],,,,10E
200,130379.0,Fists of the Anvil,Pete Venters,[Red],[R],normal,2.0,Common,Instant,,,,,10E
201,130378.0,Flamewave Invoker,Dave Dorman,[Red],[R],normal,3.0,Uncommon,Creature — Goblin Mutant,"[Goblin, Mutant]",,2,2,10E
202,130542.0,Flowstone Slide,Chippy,[Red],[R],normal,4.0,Rare,Sorcery,,,,,10E
203,129566.0,Furnace of Rath,John Matson,[Red],[R],normal,4.0,Rare,Enchantment,,,,,10E
204,130386.0,Furnace Whelp,Matt Cavotta,[Red],[R],normal,4.0,Uncommon,Creature — Dragon,[Dragon],,2,2,10E
205,130380.0,Goblin Elite Infantry,Robert Bliss,[Red],[R],normal,2.0,Common,Creature — Goblin Warrior,"[Goblin, Warrior]",,2,2,10E
206,129578.0,Goblin King,Ron Spears,[Red],[R],normal,3.0,Rare,Creature — Goblin,[Goblin],,2,2,10E
207,135221.0,Goblin Lore,D. Alexander Gregory,[Red],[R],normal,2.0,Uncommon,Sorcery,,,,,10E
208,129580.0,Goblin Piker,DiTerlizzi,[Red],[R],normal,2.0,Common,Creature — Goblin Warrior,"[Goblin, Warrior]",,2,1,10E
209,129582.0,Goblin Sky Raider,Daren Bader,[Red],[R],normal,3.0,Common,Creature — Goblin Warrior,"[Goblin, Warrior]",,1,2,10E
210,129588.0,Guerrilla Tactics,Dave Dorman,[Red],[R],normal,2.0,Uncommon,Instant,,,,,10E
211,129591.0,Hill Giant,Kev Walker,[Red],[R],normal,4.0,Common,Creature — Giant,[Giant],,3,3,10E
212,134751.0,Incinerate,Zoltan Boros & Gabor Szikszai,[Red],[R],normal,2.0,Common,Instant,,,,,10E
213,106398.0,"Kamahl, Pit Fighter",Kev Walker,[Red],[R],normal,6.0,Rare,Legendary Creature — Human Barbarian,"[Human, Barbarian]",[Legendary],6,1,10E
214,129620.0,Lava Axe,Brian Snõddy,[Red],[R],normal,5.0,Common,Sorcery,,,,,10E
215,130373.0,Lavaborn Muse,Brian Snõddy,[Red],[R],normal,4.0,Rare,Creature — Spirit,[Spirit],,3,3,10E
216,129624.0,Lightning Elemental,Kev Walker,[Red],[R],normal,4.0,Common,Creature — Elemental,[Elemental],,4,1,10E
217,130367.0,Manabarbs,Jeff Miracola,[Red],[R],normal,4.0,Rare,Enchantment,,,,,10E
218,134748.0,Mogg Fanatic,Brom,[Red],[R],normal,1.0,Uncommon,Creature — Goblin,[Goblin],,1,1,10E
219,129663.0,Orcish Artillery,Jeff Miracola,[Red],[R],normal,3.0,Uncommon,Creature — Orc Warrior,"[Orc, Warrior]",,1,3,10E
